file	program	config	c_size	u_size	c_time	d_time	c_mem	d_mem	c_cpu	d_cpu	is_lossless
2298_S37_L001.il.fq	quip	quip_a	21776591	274403560	24.67	26.81	760	759	117	121	1
2241_S28_L001.il.fq	quip	quip_a	32153707	347670024	32.17	34.49	760	759	117	120	1
2259_S46_L001.il.fq	quip	quip_a	24037350	350734246	28.22	30.49	760	759	118	124	1
2304_S43_L001.il.fq	quip	quip_a	17180798	308830288	23.35	25.8	760	759	119	124	1
2295_S34_L001.il.fq	quip	quip_a	18868086	319978424	24.42	25.71	760	759	120	124	1
2220_S7_L001.il.fq	quip	quip_a	29746071	407466534	33.41	37.37	760	759	118	122	1
2240_S27_L001.il.fq	quip	quip_a	31513462	367953250	32.58	34.93	760	759	118	121	1
2252_S39_L001.il.fq	quip	quip_a	24635043	368794574	28.52	31.17	760	759	121	124	1
2276_S15_L001.il.fq	quip	quip_a	27058715	366767194	31.02	33.34	760	759	118	121	1
2301_S40_L001.il.fq	quip	quip_a	21819847	349276596	28.08	29.98	760	759	118	122	1
2218_S5_L001.il.fq	quip	quip_a	58372464	458633010	53.34	58.12	761	760	114	116	1
2237_S24_L001.il.fq	quip	quip_a	28131094	440977110	33.66	36.67	760	759	120	123	1
2250_S37_L001.il.fq	quip	quip_a	19535670	338071598	25.43	26.65	760	759	119	125	1
2305_S44_L001.il.fq	fqzcomp	fqzcomp_s1_m	24076910	298045616	4.55	6.01	311	309	173	174	0
2293_S32_L001.il.fq	quip	quip_a	20613783	373086500	27.82	30.68	760	759	120	123	1
2248_S35_L001.il.fq	fqzcomp	fqzcomp_s1_m	29756712	515301428	7.39	9.72	310	309	173	172	0
2215_S2_L001.il.fq	fqzcomp	fqzcomp_s1_m	19925450	355812082	4.97	6.89	310	309	173	169	0
2229_S16_L001.il.fq	quip	quip_a	32117169	419881230	33.89	35.67	760	759	119	124	1
2294_S33_L001.il.fq	quip	quip_a	18496601	270026346	21.55	23.56	760	759	119	121	1
2260_S47_L001.il.fq	fqzcomp	fqzcomp_s1_m	28866928	373982572	5.79	7.58	311	309	167	170	0
2283_S22_L001.il.fq	fqzcomp	fqzcomp_s1_m	33692539	429575634	6.18	8.55	311	310	173	172	0
2249_S36_L001.il.fq	fqzcomp	fqzcomp_s1_m	21407443	375702258	5.33	7.22	310	309	171	174	0
2233_S20_L001.il.fq	quip	quip_a	30448868	312791608	28.3	29.52	760	759	117	122	1
2223_S10_L001.il.fq	fqzcomp	fqzcomp_s1_m	24025541	366792588	5.72	7.31	310	309	168	168	0
2297_S36_L001.il.fq	fqzcomp	fqzcomp_s1_m	18915895	297605488	4.04	5.51	311	309	177	173	0
2273_S12_L001.il.fq	fqzcomp	fqzcomp_s1_m	23727436	380317040	4.97	6.9	310	309	179	181	0
2289_S28_L001.il.fq	fqzcomp	fqzcomp_s1_m	18402684	388820198	5.11	7.1	310	309	173	174	0
2263_S2_L001.il.fq	fqzcomp	fqzcomp_s1_m	23817326	416736936	5.28	7.7	310	309	180	177	0
2253_S40_L001.il.fq	fqzcomp	fqzcomp_s1_m	26060460	392234212	5.45	7.74	310	309	173	174	0
2224_S11_L001.il.fq	fqzcomp	fqzcomp_s1_m	21468885	342963850	4.77	6.6	310	309	176	176	0
2266_S5_L001.il.fq	fqzcomp	fqzcomp_s1_m	34349669	595944536	7.19	10.69	310	309	182	180	0
2274_S13_L001.il.fq	fqzcomp	fqzcomp_s1_m	27047794	385430632	5.56	7.17	311	309	175	177	0
2257_S44_L001.il.fq	fqzcomp	fqzcomp_s1_m	22202980	319269900	5.08	6.1	310	309	167	173	0
2254_S41_L001.il.fq	fqzcomp	fqzcomp_s1_m	24680371	375101846	5	6.97	310	309	176	177	0
2252_S39_L001.il.fq	fqzcomp	fqzcomp_s1_m	22826278	368794574	4.83	7.1	310	309	175	174	0
2239_S26_L001.il.fq	fqzcomp	fqzcomp_s1_m	34998517	357055160	5.28	7.47	311	310	168	173	0
2216_S3_L001.il.fq	fqzcomp	fqzcomp_s1_m	15967069	347444344	4.66	6.55	310	309	171	172	0
2265_S4_L001.il.fq	fqzcomp	fqzcomp_s1_m	27898949	418596336	5.71	7.87	310	309	175	178	0
2232_S19_L001.il.fq	fqzcomp	fqzcomp_s1_m	32116044	384683514	5.71	7.76	311	309	168	173	0
2241_S28_L001.il.fq	fqzcomp	fqzcomp_s1_m	32186419	347670024	5.23	6.66	311	310	172	177	0
